FileName	SampleName
/g/krebs/chatsiri/SMF_tutorial/data/dataset_1_lambdaDNA/000000000-JFM6H_SMFMMLAMTKODE280421_21s001760-1-1_Barzaghi_lane1CG0.bam	CG0
/g/krebs/chatsiri/SMF_tutorial/data/dataset_1_lambdaDNA/000000000-JFM6H_SMFMMLAMTKODE280421_21s001760-1-1_Barzaghi_lane1CG075.bam	CG0.75
/g/krebs/chatsiri/SMF_tutorial/data/dataset_1_lambdaDNA/000000000-JFM6H_SMFMMLAMTKODE280421_21s001760-1-1_Barzaghi_lane1CG10.bam	CG10
/g/krebs/chatsiri/SMF_tutorial/data/dataset_1_lambdaDNA/000000000-JFM6H_SMFMMLAMTKODE280421_21s001760-1-1_Barzaghi_lane1CG15.bam	CG1.5
/g/krebs/chatsiri/SMF_tutorial/data/dataset_1_lambdaDNA/000000000-JFM6H_SMFMMLAMTKODE280421_21s001760-1-1_Barzaghi_lane1CG2.bam	CG2
/g/krebs/chatsiri/SMF_tutorial/data/dataset_1_lambdaDNA/000000000-JFM6H_SMFMMLAMTKODE280421_21s001760-1-1_Barzaghi_lane1CG30.bam	CG3
/g/krebs/chatsiri/SMF_tutorial/data/dataset_1_lambdaDNA/000000000-JFM6H_SMFMMLAMTKODE280421_21s001760-1-1_Barzaghi_lane1CG4.bam	CG4
/g/krebs/chatsiri/SMF_tutorial/data/dataset_1_lambdaDNA/000000000-JFM6H_SMFMMLAMTKODE280421_21s001760-1-1_Barzaghi_lane1GC0.bam	GC0
/g/krebs/chatsiri/SMF_tutorial/data/dataset_1_lambdaDNA/000000000-JFM6H_SMFMMLAMTKODE280421_21s001760-1-1_Barzaghi_lane1GC02.bam	GC0.2
/g/krebs/chatsiri/SMF_tutorial/data/dataset_1_lambdaDNA/000000000-JFM6H_SMFMMLAMTKODE280421_21s001760-1-1_Barzaghi_lane1GC07.bam	GC0.7
/g/krebs/chatsiri/SMF_tutorial/data/dataset_1_lambdaDNA/000000000-JFM6H_SMFMMLAMTKODE280421_21s001760-1-1_Barzaghi_lane1GC10.bam	GC10
/g/krebs/chatsiri/SMF_tutorial/data/dataset_1_lambdaDNA/000000000-JFM6H_SMFMMLAMTKODE280421_21s001760-1-1_Barzaghi_lane1GC12.bam	GC1.2
/g/krebs/chatsiri/SMF_tutorial/data/dataset_1_lambdaDNA/000000000-JFM6H_SMFMMLAMTKODE280421_21s001760-1-1_Barzaghi_lane1GC15.bam	GC1.5
/g/krebs/chatsiri/SMF_tutorial/data/dataset_1_lambdaDNA/000000000-JFM6H_SMFMMLAMTKODE280421_21s001760-1-1_Barzaghi_lane1GC2.bam	GC2
/g/krebs/chatsiri/SMF_tutorial/data/dataset_1_lambdaDNA/000000000-JFM6H_SMFMMLAMTKODE280421_21s001760-1-1_Barzaghi_lane1GCR202.bam	GCR20.2
/g/krebs/chatsiri/SMF_tutorial/data/dataset_1_lambdaDNA/000000000-JFM6H_SMFMMLAMTKODE280421_21s001760-1-1_Barzaghi_lane1GCR207.bam	GCR20.7
/g/krebs/chatsiri/SMF_tutorial/data/dataset_1_lambdaDNA/000000000-JFM6H_SMFMMLAMTKODE280421_21s001760-1-1_Barzaghi_lane1GCR210.bam	GCR210
/g/krebs/chatsiri/SMF_tutorial/data/dataset_1_lambdaDNA/000000000-JFM6H_SMFMMLAMTKODE280421_21s001760-1-1_Barzaghi_lane1GCR212.bam	GCR21.2
/g/krebs/chatsiri/SMF_tutorial/data/dataset_1_lambdaDNA/000000000-JFM6H_SMFMMLAMTKODE280421_21s001760-1-1_Barzaghi_lane1GCR215.bam	GCR21.5
/g/krebs/chatsiri/SMF_tutorial/data/dataset_1_lambdaDNA/000000000-JFM6H_SMFMMLAMTKODE280421_21s001760-1-1_Barzaghi_lane1GCR22.bam	GCR22
